VIET_awkward_encounter_public;Awkward Encounter in Public;Rencontre maladroite en public;;;;;;;;;;;;x
VIET_poetry_contemplation_desc;This character has been trying to learn about the poetry written by other poets.;Ce personnage a essayé d'apprendre sur la poésie écrite par d'autres poètes.;;;;;;;;;;;;x
VIET_sobering_lesson;Sobering Lesson;Leçon qui donne à réfléchir;;;;;;;;;;;;x
VIET_sobering_lesson_desc;This character recently learned a sobering lesson about the harsh realities of life.;Ce personnage a récemment appris une leçon qui fait réfléchir sur les dures réalités de la vie.;;;;;;;;;;;;x
VIET_interesting_talk_with_stranger;Interesting Talk with Stranger;Entretien intéressant avec un étranger;;;;;;;;;;;;x
VIET_interesting_talk_with_stranger_desc;This character recently had a good chat with someone he never met before. Though he will probably never meet this stranger again, that doesn't mean the conversation didn't impact them in some way.;Ce personnage a récemment eu une bonne conversation avec quelqu'un qu'il n'avait jamais rencontré auparavant. Bien qu'il ne rencontrera probablement jamais plus cet étranger, cela ne signifie pas que la conversation ne les a pas affectés d'une manière ou d'une autre.;;;;;;;;;;;;x
VIET_nightgazer;Avid Nightgazer;Avid Nightgazer;;;;;;;;;;;;x
VIET_nightgazer_desc;This character gazes into the night often, meditating on the beautiful stars and moon that shine high above in the heavens.;Ce personnage regarde souvent dans la nuit, méditant sur les belles étoiles et la lune qui brillent au-dessus des cieux.;;;;;;;;;;;;x
VIET_duck_wobbler;Duck Wobbler;Canard Wobbler;;;;;;;;;;;;x
VIET_duck_wobbler_desc;This person walks in a manner that is reminiscent of a wobbling duck. Many people find this amusing.;Ce personnage marche d'une manière qui fait penser à un canard vacillant. Beaucoup de gens trouvent cela amusant.;;;;;;;;;;;;x
VIET_fox_spirit_dreams;Daydreaming of Fox Spirits;Rêverie des esprits de renard;;;;;;;;;;;;x
VIET_fox_spirit_dreams_desc;Traditionally, in East Asia, fox spirits were said to often take the appearance of an attractive young girl. This character has been daydreaming about encountering one such enchanting lady as of late.;Traditionnellement, en Asie de l’Est, on disait souvent que l’esprit de renard prenait l’aspect d’une jolie jeune fille. Ce personnage a rêvé de rencontrer une femme aussi enchanteresse que récemment.;;;;;;;;;;;;x
VIET_buzzing_noises;Buzzing Noises;Bourdonnement;;;;;;;;;;;;x
VIET_buzzing_noises_desc;This character keeps hearing buzzing noises but doesn't know where they're coming from.;Ce personnage continue à entendre les bourdonnements mais ne sait pas d'où ils viennent.;;;;;;;;;;;;x
VIET_province_pistachios;Famous Pistachios;Pistaches célèbres;;;;;;;;;;;;x
VIET_province_pistachios_desc;The pistachios from this province have gained a lot of popularity worldwide.;Les pistaches de cette province ont acquis une grande popularité dans le monde entier.;;;;;;;;;;;;x
VIET_lake_rumare_dream_lake;Dreamt of a Great Lake;A rêvé d'un grand lac;;;;;;;;;;;;x
VIET_lake_rumare_dream_lake_desc;There, before one's eyes, was the most beautiful lake ever seen. It was large enough to be a sea to its own, and surrounding it was a pastoral landscape, farmland and small villages dotting the shores.;Là, sous ses yeux, se trouvait le plus beau lac jamais vu. Il était assez grand pour être une mer à lui seul et était entouré d’un paysage pastoral, de terres agricoles et de petits villages qui parsèment les rives.;;;;;;;;;;;;x
VIET_lake_rumare_dream_shrine;Dreamt of a Marble Shrine;A rêvé d'un sanctuaire en marbre;;;;;;;;;;;;x
VIET_lake_rumare_dream_shrine_desc;It was not particularly large - more like a glorified altar - and its roof was no more, and its marbled columns worn and broken. Yet the aura of an ancient, spiritual power still emanated from it.;Ce n'était pas particulièrement grand - plutôt un autel glorifié - et son toit n'était plus, et ses colonnes marbrées étaient usées et brisées. Pourtant, l'aura d'un ancien pouvoir spirituel en émanait toujours.;;;;;;;;;;;;x
VIET_lake_rumare_dream_forest;Dreamt of a Gentle Forest;A rêvé d'une forêt douce;;;;;;;;;;;;x
VIET_lake_rumare_dream_forest_desc;Some forests are dark and dangerous, but this one was the opposite, for there was light to be seen, and birds and other friendly creatures to guide the way. But who knows what secrets it holds, yet to be discovered.;Certaines forêts sont sombres et dangereuses, mais celle-ci était le contraire, car il y avait de la lumière, des oiseaux et d’autres créatures amicales pour guider le chemin. Mais qui sait quels secrets elle détient, cela reste à découvrir.;;;;;;;;;;;;x
VIET_lake_rumare_dream_cottage;Dreamt of a Cozy Cottage;A rêvé d'un chalet confortable;;;;;;;;;;;;x
VIET_lake_rumare_dream_cottage_desc;Inside - fresh and warm food like chewy bread, crisp vegetables, crumbly cheeses. A small fire burned by a fireplace, and a few rugs and chairs kept were as simple decoration alongside a soft, inviting bed.;À l'intérieur - des aliments frais et chauds comme du pain à mâcher, des légumes croquants, des fromages friables. Un petit feu brûlé par une cheminée et quelques tapis et chaises conservés constituaient une simple décoration à côté d'un lit moelleux et invitant.;;;;;;;;;;;;x
VIET_oblivion_dream_bruma;Dreamt of an Ancient Temple;A rêvé d'un ancien temple;;;;;;;;;;;;x
VIET_oblivion_dream_bruma_desc;"The sacred stones here are many things. Temple, fortress, safe haven. But it is also a home to those wise and strong enough to defend it.";"Les pierres sacrées ici représentent beaucoup de choses. Temple, forteresse, refuge. Mais c'est aussi une demeure pour ceux qui sont assez sages et forts pour la défendre.";;;;;;;;;;;;x
VIET_oblivion_dream_anvil;Dreamt of a Cosmopolitan Port;A rêvé d'un port cosmopolite;;;;;;;;;;;;x
VIET_oblivion_dream_anvil_desc;"Many of the city's folk are directly or indirectly associated with ships and sailing... sailors, ship-owners, men made rich and poor by the sea trade, and the lonely wives of men who follow the sea.";"De nombreux habitants de la ville sont directement ou indirectement associés aux navires et à la voile ... des marins, des armateurs, des hommes riches et pauvres enrichis par le commerce maritime et les épouses solitaires d'hommes qui suivent la mer.";;;;;;;;;;;;x
VIET_oblivion_dream_leyawiin;Dreamt of a Mysterious Swamp;A rêvé d'un marais mystérieux;;;;;;;;;;;;x
VIET_oblivion_dream_leyawiin_desc;"The swamp isn't so bad, once you get used to the flies. And being lost all the time.";"Le marais n'est pas si terrible, une fois que vous vous êtes habitué aux mouches. Et que vous vous êtes perdu tout le temps.";;;;;;;;;;;;x
VIET_oblivion_dream_lake_rumare;Dreamt of Flower Meadows;A rêvé de champs de fleurs;;;;;;;;;;;;x
VIET_oblivion_dream_lake_rumare_desc;"A forest was cleared for agriculture around the lake, but it's mostly wilderness outside of that.";"Une forêt a été défrichée pour l'agriculture autour du lac, mais ce sont surtout des étendues sauvages en dehors de cela.";;;;;;;;;;;;x
VIET_moved_to_tears;Moved to Tears by Art;Ému aux larmes par l'art;;;;;;;;;;;;x
VIET_moved_to_tears_desc;"When we are born we cry that we are come\nTo this great stage of fools.";"Quand nous sommes nés, nous pleurons que nous sommes venus\nVers cette grande étape d'idiots.";;;;;;;;;;;;x
VIET_emotionless_to_art;Didn't Cry to Sad Story;N'a pas pleuré à une triste histoire;;;;;;;;;;;;x
VIET_emotionless_to_art_desc;"To weep is to make less the depth of grief.";"Pleurer c'est faire moins la profondeur du chagrin.";;;;;;;;;;;;x
VIET_auriels_ascension;[Root.Religion.GetHighGodName]'s Ascension;Ascension de [Root.Religion.GetHighGodName];;;;;;;;;;;;x
VIET_auriels_ascension_desc;They say that a physical manifestation of [Root.Religion.GetHighGodName] appeared in a remote village of this province.;Ils disent qu'une manifestation physique de [Root.Religion.GetHighGodName] est apparue dans un village éloigné de cette province.;;;;;;;;;;;;x
VIET_repressing_cult;Repressing Dangerous Cult;Réprimer le culte dangereux;;;;;;;;;;;;x
VIET_repressing_cult_desc;A heretical cult is active here. Though it does not have many followers, the authorities fear the cult could be quite dangerous, and are cracking down on it.;Un culte hérétique est actif ici. Bien qu'il n'y ait pas beaucoup d'adeptes, les autorités craignent que le culte ne soit vraiment dangereux et le répriment.;;;;;;;;;;;;x
VIET_Oblivion_dream_complete;Dream of Adventure;Rêve d'aventure;;;;;;;;;;;;x
VIET_Oblivion_dream_complete_desc;This character once had a most epic dream. In it, he helped a long-lost Prince and his allies defend their home and Empire from a demonic army invading from the gates of hell itself! So vivid was this dream that to this day this character still recalls it.;Ce personnage a déjà eu un rêve des plus épiques. Il y a aidé un prince perdu depuis longtemps et ses alliés à défendre leur pays et leur Empire contre une armée démoniaque envahissant les portes de l'enfer ! Ce rêve était si vivant qu’à ce jour, ce personnage se le rappelle encore.;;;;;;;;;;;;x
VIET_world_war_1_dream;Dreamt of a War to End All Wars;A rêvé d'une guerre pour mettre fin à toutes les guerres;;;;;;;;;;;;x
VIET_world_war_1_dream_desc;After having such an intense and horrifying dream of the future, where men used cruel and twisted sorcery to tear each other to shreds and die by the thousands, this character has been transformed.;Après avoir eu un rêve aussi intense et horrifiant du futur, où des hommes utilisaient une sorcellerie cruelle et tordue pour se déchirer en lambeaux et mourir par milliers, ce personnage a été transformé.;;;;;;;;;;;;x
VIET_one_time_lovemaking;One-time Lovemaking;Amour unique;;;;;;;;;;;;x
VIET_one_time_lovemaking_desc;This character recently had a quick tryst with someone, most likely a stranger. They certainly enjoyed it, but who knows if their partner, willing or not, felt the same.;Ce personnage a récemment eu une conversation rapide avec quelqu'un, probablement un étranger. Ils ont certainement apprécié, mais qui sait si leur partenaire, volontaire ou non, a ressenti la même chose.;;;;;;;;;;;;x
VIET_opinion_won_drinking_contest;Won Drinking Contest;A gagné un concours de beuverie;;;;;;;;;;;;x
VIET_opinion_lost_drinking_contest;Lost Drinking Contest;A perdu un concours de beuverie;;;;;;;;;;;;x
VIET_opinion_fruit_loop_poops_advice;Advice for Colorful Stool;Conseils pour les selles colorées;;;;;;;;;;;;x
VIET_fruit_loops_poops;Colorful Stool;Tabouret Coloré;;;;;;;;;;;;x
VIET_fruit_loops_poops_desc;For some reason, this character's stool is very colorful as of late. It does not seem natural, but no serious medical issues have been linked to this. Yet.;Pour une raison quelconque, le tabouret de ce personnage est très coloré ces derniers temps. Cela ne semble pas naturel, mais aucun problème médical grave n’y est associé. Encore.;;;;;;;;;;;;x
VIET_scorpion_sting;Stung by a Scorpion;Piqué par un scorpion;;;;;;;;;;;;x
VIET_dream_dagoth_ur;Dreamt of a Figure in a Golden Mask;A rêvé d'une figure dans un masque d'or;;;;;;;;;;;;x
VIET_dream_dagoth_ur_desc;"Come to me, through fire and war. I welcome you.";"Venez à moi, par le feu et la guerre. Je vous souhaite la bienvenue.";;;;;;;;;;;;x
VIET_maitreya_cult;Maitreya Cult;Culte de Maitreya;;;;;;;;;;;;x
VIET_maitreya_cult_desc;A Buddhist monk in this province has proclaimed himself to be Maitreya, the Buddha of the next epoch. His small group of fanatical devotees are causing much disturbance and unrest.;Un moine bouddhiste de cette province s'est proclamé Maitreya, le Bouddha de la prochaine époque. Son petit groupe de passionnés fanatiques cause beaucoup de troubles et d'agitation.;;;;;;;;;;;;x
VIET_ominous_dream;Ominous Dream;Rêve inquiétant;;;;;;;;;;;;x
VIET_opinion_reasonable_advice;Reasonable Advice;Conseil raisonnable;;;;;;;;;;;;x
VIET_tiring_travel;Tiring Travels;Voyages fatigants;;;;;;;;;;;;x
VIET_tiring_travel_desc;Maybe it wasn't such a good idea to travel that far and exhaust oneself. Maybe, sometimes, one needs to just relax and not try too hard.;Ce n’était peut-être pas une si bonne idée de voyager aussi loin et de s’épuiser. Parfois, il faut peut-être simplement se détendre et ne pas essayer trop fort.;;;;;;;;;;;;x
VIET_stared_at_sun;Stared at the Sun for Too Long;A regardé trop longtemps le soleil;;;;;;;;;;;;x
VIET_permanent_sun_damage;Permanent Damage to Eyes from the Sun;Dommages permanents aux yeux par le soleil;;;;;;;;;;;;x
VIET_permanent_sun_damage_desc;At some point in their life, this character was moronic enough to stare at the sun for too long, causing permanent damage to their eyes. Though he isn't blind per se, his eyesight is not as good as it used to be.;À un moment donné de leur vie, ce personnage était assez idiot pour regarder trop longtemps le soleil, causant des lésions permanentes aux yeux. Bien qu'il ne soit pas aveugle en soi, sa vue n'est plus aussi bonne qu'auparavant.;;;;;;;;;;;;x
VIET_egyptian_sunscreen;Sunscreen Made Using Egyptian Recipe;Crème solaire faite à l'aide d'une recette égyptienne;;;;;;;;;;;;x
VIET_egyptian_sunscreen_desc;This character currently possesses an oil made mostly from rice, jasmine, lupine, and other herbs, that is based on an old Egyptian recipe. It is meant to be applied on the skin to help prevent sunburns and tanning. After all, who would ever think a tan looked good on a person? This character is no ignorant peasant after all!;Ce personnage possède actuellement une huile principalement composée de riz, de jasmin, de lupin et d'autres herbes, basée sur une vieille recette égyptienne. Elle est destinée à être appliquée sur la peau pour aider à prévenir les coups de soleil et le bronzage. Après tout, qui aurait jamais pensé qu'un bronzage était bien sur une personne ? Ce personnage n'est pas un paysan ignorant après tout !;;;;;;;;;;;;x
VIET_bored_of_duties;Bored of Duties;;;;;;;;;;;;;x
VIET_province_giant_shade_tree;Giant Shade Tree;;;;;;;;;;;;;x
VIET_province_giant_shade_tree_desc;One of the villages in this province is famous for its giant shade tree. Even those from neighboring villages further away come to enjoy themselves under this mighty tree.;;;;;;;;;;;;;x
VIET_learning_local_lore;Learning Local Lore;;;;;;;;;;;;;x
VIET_learning_local_lore_desc;This character has been learning a thing or two about the local legends, myths, customs, beliefs, and so on of the people living nearby.;;;;;;;;;;;;;x
VIET_secret_relax_spot;Secret Relaxation Spot;;;;;;;;;;;;;x
VIET_secret_relax_spot_desc;This character recently found a place just for themselves, a private secluded location where they can peacefuly rest by themselves, without worrying about the rest of the world.;;;;;;;;;;;;;x
VIET_opinion_showed_secret_relax_spot;Showed Me a Wonderful Place to Relax;;;;;;;;;;;;;x
VIET_opinion_showed_secret_relax_spot_lover;Showed Me a Wonderful Place to Relax;;;;;;;;;;;;;x
VIET_secret_relax_spot_sexy;Secret Place to Meet with Lover;;;;;;;;;;;;;x
VIET_secret_relax_spot_sexy_desc;No one knows where this person goes when they want some alone time with their lover(s), but rumor has it that it is a very nice, lovely, intimate place.;;;;;;;;;;;;;x
VIET_fun_in_the_sun;Fun in the Sun;;;;;;;;;;;;;x
VIET_fun_in_the_sun_desc;Visiting the beach and having a good time - it was definitely worth it to this character!;;;;;;;;;;;;;x
VIET_opinion_beach_trip;Went on Beach Trip Together;;;;;;;;;;;;;x
VIET_province_youth_prank;Hysteria Caused by Recent Prank;;;;;;;;;;;;;x
VIET_province_youth_prank_desc;For a number months, a band of reckless, boorish youths played a prank in one of the towns of this region, pretending to be the voices and sounsd of demonic forces. They have thankfully been caught, but rumors of this incident does not reflect well on the inhabitants of this area.;;;;;;;;;;;;;x
VIET_province_shadow_hysteria;Reports of Shadow People;;;;;;;;;;;;;x
VIET_province_shadow_hysteria_desc;Villagers reported seeing humanoid shadows appearing at night, trying to kill those who are unsuspecting and sleeping. Many wiser and more level-headed persons believe this is just a case of mass hysteria.;;;;;;;;;;;;;x
VIET_province_night_ghosts_disappear;No More Ghosts;;;;;;;;;;;;;x
VIET_province_night_ghosts_disappear_desc;Ghosts supposedly used to haunt an area of this region, though some doubted the truth of this. Either way, it seems the reports of ghostly beings have suddenly stopped, and some fear the ghosts have disappeared due to some nefarious reason.;;;;;;;;;;;;;x
VIET_province_succubus_night_paralysis;Succubus Attack;;;;;;;;;;;;;x
VIET_province_succubus_night_paralysis_desc;They say a bewitchingly beautiful creature - a demon, most likely - attacks the people in this region in their sleep, forcing them to copulate with her in the most sinful ways possible. There are scholars who believe this can be explained through natural philosophy as bizarre dreams, but many disagree.;;;;;;;;;;;;;x
VIET_valerian_herb;Valerian Herbal Tea;;;;;;;;;;;;;x
VIET_valerian_herb_desc;Ever since the days of the ancient Greeks and Rmoans, the herb valerian has been given to those who are suffering from insomnia or difficulty falling asleep.;;;;;;;;;;;;;x
VIET_no_empathy;Lack of Empathy;;;;;;;;;;;;;x
xxxxxxxxx;xxxxx;;;;;;;;;;;;;x
xxxxxxxxx;xxxxx;;;;;;;;;;;;;x
